Date,Value,Value USD,Max 7,Min 7,Open 2,Change,Mean Change 7,Drop 7,Up 7,Predict,Prediction,Actual
21-03-2019 19:13,3986.38,3985.91,3986.72,3986.18,3985.91,0.47000000000025466,0.09428571428575847,3.0,4.0,1.0,1,0
21-03-2019 19:13,3985.91,3985.44,3986.72,3985.91,3985.44,0.4699999999997999,0.18285714285710647,2.0,5.0,1.0,1,0
21-03-2019 19:14,3985.44,3985.61,3986.38,3985.44,3985.61,-0.17000000000007276,0.08142857142852986,3.0,4.0,-1.0,0,1
21-03-2019 19:15,3985.61,3985.57,3986.38,3985.44,3985.57,0.03999999999996362,0.11428571428567531,2.0,5.0,1.0,1,0
21-03-2019 19:15,3985.57,3985.54,3986.38,3985.44,3985.54,0.03000000000020009,0.11714285714288053,2.0,5.0,1.0,1,0
21-03-2019 19:16,3985.54,3985.22,3986.38,3985.44,3985.22,0.3200000000001637,0.1414285714286052,2.0,5.0,1.0,1,0
21-03-2019 19:16,3985.22,3984.69,3986.38,3985.22,3984.69,0.5299999999997453,0.24142857142857924,1.0,6.0,1.0,1,0
21-03-2019 19:17,3984.69,3984.31,3985.91,3984.69,3984.31,0.38000000000010914,0.22857142857141557,1.0,6.0,1.0,1,0
21-03-2019 19:17,3984.31,3984.11,3985.61,3984.31,3984.11,0.1999999999998181,0.1899999999999896,1.0,6.0,1.0,1,0
21-03-2019 19:18,3984.11,3983.98,3985.61,3984.11,3983.98,0.13000000000010914,0.23285714285715844,0.0,7.0,1.0,1,0
21-03-2019 19:18,3983.98,3984.93,3985.57,3983.98,3984.93,-0.9499999999998181,0.0914285714286182,1.0,6.0,-1.0,0,1
21-03-2019 19:19,3984.93,3983.33,3985.54,3983.98,3983.33,1.599999999999909,0.3157142857142909,1.0,6.0,1.0,1,0
21-03-2019 19:20,3983.33,3982.74,3985.22,3983.33,3982.74,0.5900000000001455,0.35428571428571687,1.0,6.0,1.0,1,0
21-03-2019 19:20,3982.74,3983.03,3984.93,3982.74,3983.03,-0.29000000000041837,0.23714285714283637,2.0,5.0,-1.0,0,1
21-03-2019 19:21,3983.03,3983.27,3984.93,3982.74,3983.27,-0.23999999999978172,0.1485714285714234,3.0,4.0,-1.0,0,1
21-03-2019 19:21,3983.27,3982.69,3984.93,3982.74,3982.69,0.5799999999999272,0.20285714285715326,3.0,4.0,1.0,1,0
21-03-2019 19:22,3982.69,3982.48,3984.93,3982.69,3982.48,0.21000000000003638,0.21428571428571427,3.0,4.0,1.0,1,0
21-03-2019 19:23,3982.48,3982.54,3984.93,3982.48,3982.54,-0.05999999999994543,0.34142857142855326,3.0,4.0,-1.0,0,1
21-03-2019 19:23,3982.54,3981.36,3983.33,3982.48,3981.36,1.1799999999998363,0.28142857142854283,3.0,4.0,1.0,1,0
21-03-2019 19:24,3981.36,3980.87,3983.27,3981.36,3980.87,0.49000000000023647,0.2671428571428415,3.0,4.0,1.0,1,0
21-03-2019 19:24,3980.87,3980.15,3983.27,3980.87,3980.15,0.7199999999997999,0.411428571428587,2.0,5.0,1.0,1,0
21-03-2019 19:25,3980.15,3980.25,3983.27,3980.15,3980.25,-0.09999999999990905,0.43142857142856883,2.0,5.0,-1.0,0,1
21-03-2019 19:25,3980.25,3979.0,3982.69,3980.15,3979.0,1.25,0.5271428571428649,2.0,5.0,1.0,1,0
21-03-2019 19:26,3979.0,3978.97,3982.54,3979.0,3978.97,0.03000000000020009,0.5014285714286026,2.0,5.0,1.0,1,0
21-03-2019 19:26,3978.97,3978.27,3982.54,3978.97,3978.27,0.6999999999998181,0.6099999999999974,1.0,6.0,1.0,1,0
21-03-2019 19:27,3978.27,3977.62,3981.36,3978.27,3977.62,0.650000000000091,0.5342857142857481,1.0,6.0,1.0,1,0
21-03-2019 19:28,3977.62,3978.57,3980.87,3977.62,3978.57,-0.9500000000002728,0.3285714285713896,2.0,5.0,-1.0,0,1
21-03-2019 19:28,3978.57,3980.0,3980.25,3977.62,3980.0,-1.4299999999998363,0.021428571428584422,3.0,4.0,-1.0,0,1
21-03-2019 19:33,3980.0,3979.32,3980.25,3977.62,3979.32,0.6799999999998363,0.13285714285711947,2.0,5.0,1.0,1,0
21-03-2019 19:34,3979.32,3979.29,3980.0,3977.62,3979.29,0.03000000000020009,-0.04142857142856623,2.0,5.0,-1.0,0,0
21-03-2019 19:34,3979.29,3979.53,3980.0,3977.62,3979.53,-0.24000000000023647,-0.08000000000005716,3.0,4.0,-2.0,0,1
21-03-2019 19:35,3979.53,3979.42,3980.0,3977.62,3979.42,0.11000000000012733,-0.16428571428572727,3.0,4.0,-1.0,0,0
21-03-2019 19:35,3979.42,3980.72,3980.0,3977.62,3980.72,-1.2999999999997272,-0.44285714285712985,4.0,3.0,-2.0,0,1
21-03-2019 19:36,3980.72,3980.65,3980.72,3978.57,3980.65,0.06999999999970896,-0.2971428571428468,3.0,4.0,-1.0,0,0
21-03-2019 19:37,3980.65,3976.55,3980.72,3979.29,3976.55,4.099999999999909,0.49285714285711685,2.0,5.0,1.0,1,0
21-03-2019 19:45,3976.55,3976.05,3980.72,3976.55,3976.05,0.5,0.46714285714285453,2.0,5.0,1.0,1,0
21-03-2019 19:45,3976.05,3976.1,3980.72,3976.05,3976.1,-0.04999999999972715,0.4557142857142935,3.0,4.0,-1.0,0,1
21-03-2019 19:46,3976.1,3973.3,3980.72,3976.05,3973.3,2.799999999999727,0.8900000000000026,2.0,5.0,1.0,1,0
21-03-2019 19:47,3973.3,3971.7,3980.72,3973.3,3971.7,1.6000000000003638,1.1028571428571792,2.0,5.0,1.0,1,0
21-03-2019 19:47,3971.7,3972.77,3980.72,3971.7,3972.77,-1.0700000000001637,1.1357142857142597,2.0,5.0,-1.0,0,1
21-03-2019 19:48,3972.77,3975.01,3980.65,3971.7,3975.01,-2.2400000000002365,0.8057142857142675,3.0,4.0,-1.0,0,1
21-03-2019 19:48,3975.01,3975.05,3976.55,3971.7,3975.05,-0.03999999999996362,0.21428571428571427,4.0,3.0,-2.0,0,1
21-03-2019 19:49,3975.05,3975.23,3976.1,3971.7,3975.23,-0.1799999999998363,0.11714285714288053,5.0,2.0,-2.0,0,1
21-03-2019 19:49,3975.23,3976.71,3976.1,3971.7,3976.71,-1.4800000000000182,-0.08714285714287533,5.0,2.0,-2.0,0,1
21-03-2019 19:50,3976.71,3977.95,3976.71,3971.7,3977.95,-1.2399999999997817,-0.6642857142856623,6.0,1.0,-2.0,0,1
21-03-2019 19:51,3977.95,3978.22,3977.95,3971.7,3978.22,-0.2699999999999818,-0.9314285714285688,7.0,0.0,-2.0,0,1
21-03-2019 19:51,3978.22,3978.06,3978.22,3972.77,3978.06,0.15999999999985448,-0.7557142857142806,6.0,1.0,0.0,0,0
21-03-2019 19:52,3978.06,3979.71,3978.22,3975.01,3979.71,-1.650000000000091,-0.6714285714285454,6.0,1.0,-2.0,0,1
21-03-2019 19:52,3979.71,3980.01,3979.71,3975.05,3980.01,-0.3000000000001819,-0.7085714285714337,6.0,1.0,-2.0,0,1
21-03-2019 19:53,3980.01,3980.58,3980.01,3975.23,3980.58,-0.569999999999709,-0.7642857142857012,6.0,1.0,-2.0,0,1
21-03-2019 19:53,3980.58,3980.58,3980.58,3976.71,3980.58,0.0,-0.5528571428571273,5.0,1.0,0.0,0,1
